Document	psif
This incident is being upgraded to an RWD.	nonsif
During the washing after chrome plating all employee are asked to wear face shield.	nonsif
Vinscx GLB Cut bypass handle.	nonsif
The tech was able to give a good job briefing.	nonsif
The tech was on an aged order for a connect.	nonsif
As he rotated the wheel it released quicker than anticipated.	nonsif
The interlock was engaged and no injury sustained.	nonsif
Old heat exhaust duck pipe behind the chemical wash tank.	nonsif
The contractors was needing to rinse off Cathode Probes with water.	nonsif
The fluid was determined to be residual acid in the hose.	nonsif
Contractor was inside the reactor in A Phos Acid Plant building scaffolding.	nonsif
Discarded brick laying on floor.	nonsif
Station Warmer lineSpindle that holds the back of chair has fallen out.	nonsif
Housekeeping violations in the office.	nonsif
saw chips all over the floor in the red isle.	nonsif
points contact FTE was standing on tire of truck to clear snow from windshield.	nonsif
The hotel had stored my luggage for the day while working.	nonsif
With the three bags walked one block to the Lyft location.	nonsif
IP strained back whilst moving pallets of nylon resin.	nonsif
No accident happen.	nonsif
While reviewing the tech s vehicle supervisor noted that there were only cones.	nonsif
The expectation is that the techs carry cones.	nonsif
In this case replacement of the missing cones.	nonsif
Additionally the transformer was half buried.	nonsif
The locator stopped his work photographed the scene and notified his supervisor.	nonsif
The supervisor met him part of the way down and assisted him.	nonsif
It was also verified that the previous flooding issue had been resolved.	nonsif
LCS Planning Department and the job owner were engaged.	nonsif
The old building vault was being cutoff for future demolition.	nonsif
Concern over the ergonomics with respect to the shelving unit at roving inspection.	nonsif
ergonomic assessment Ergo assessment completed by Jon Lee and sent to EHS Specialist.	nonsif
Observed very good ZOP filled out.	nonsif
Proper testing methods filled out when applicable.	nonsif
PPE good Mitigation tools used Environmental used.	nonsif
The operator banged the head against a cone of candle Twintex.	nonsif
Heaters and light not working on North wall.	nonsif
The heaters have power but fail to turn on.	nonsif
Also the wall outlets and lights bulbs are not working.	nonsif
Battery temperature is below optimal due to loss of heaters.	nonsif
The EE reported the injury immediately to the site superintendent.	nonsif
WCV was contacted to assist in the injury management process.	nonsif
Maywood MR Open Fitting.	nonsif
lifting more than stopped and got help stopped and got help.	nonsif
In the foundry area at machine there is a gas hose damaged.	nonsif
Held safety talk July.	nonsif
Also landed on left knee.	nonsif
Right side of back hurts now too.	nonsif
Walking across line leg was scrapped by skut.	nonsif
pit system started up at am pit was bringing up lift pumps slow hyd.	nonsif
Called out maintenance mechanics to replace broken belts on the coarse cond.	nonsif
The mechanic lifted the belt guard high enough to replace the belts.	nonsif
While changing the belts the eyelet on top of the guard broke.	nonsif
The guard fell and landed on employee s right hand.	nonsif
Alerted supervisor who said he d resolve the issue.	nonsif
Went to push front pin in place and my knee felt like it popped.	nonsif
Possible Unsafe condition verified.	nonsif
This is Nick Koliopoulos reporting out on an event that occurred at CS barn.	nonsif
The wire was about off of the slab.	nonsif
EE states that she works in dept Team Job Sta B.	nonsif
She felt something bite her on her left forearm and noticed swelling and redness.	nonsif
She did not actually see an insect.	nonsif
d s helping in shipping shipping receiving.	nonsif
Manually loading plastic bins onto van.	nonsif
Went to cut strand that was still attached to the collet.	nonsif
from shift leader report.	nonsif
Contusion Left MIddle Finger.	nonsif
A wind came up and the gate swung and struck the mower.	nonsif
The gate section was damaged and will need replacing.	nonsif
The crew spliced assuming that the cable was trained and racked for HYPK.	nonsif
The crew completed work and demobilized from the site.	nonsif
The top side of open SW was energized with kV.	nonsif
The arrestor has been removed for autopsy by ComEd Engineering.	nonsif
The Z cable went to SW at a cable terminal pole for kV circuit.	nonsif
The splicing crew failed to verify circuit and phase ID kV circuit HYPK.	nonsif
empty wheel resting on rims with no chocks high bay.	nonsif
Failed to announce presence loudly.	nonsif
Job jitney driver x yrs but is working on inventory counting.	nonsif
EE was counting aluminum patches with rt hand and hit the edge.	nonsif
Roadway lighting circuit from loading rack to front parking lot not working.	nonsif
Replaced faulty photo electric switch.	nonsif
Inspection of ladders ladder operations.	nonsif
Dept Job kill cell operator Supervisor L Powell.	nonsif
A bandaid was put on the scratch.	nonsif
No other medical attention is anticipated.	nonsif
Eyes not on work.	nonsif
Changing lug welder nozzle and nozzle bur nt L thumb.	nonsif
Heading north on TX HWY.	nonsif
There was a community college on right.	nonsif
The person appeared to be turning left.	nonsif
Our employee t boned the vehicle at about mph.	nonsif
EHS Leader Tom Tuebo and employee discussed the Smith System Keys.	nonsif
Employee could not have prevented accident.	nonsif
Witness David Richie.	nonsif
No corrective actions will be assigned.	nonsif
Late submittal of timecard Timesheet was submitted with work order tasks missing.	nonsif
Employee went to maint shop to check cage for drive belts.	nonsif
I DID N T BLACK OUT.	nonsif
BUT MY HEAD IS REALLY HURTING.	nonsif
Incorrect Job Scope.	nonsif
Crew dispatched to replace arrestors on a transformer Rush University.	nonsif
Several of our staff do not have a proper locker room.	nonsif
That gives them splinters in their feet.	nonsif
Issue reported to TVO for action.	nonsif
Corrective actions performed.	nonsif
Damage occurred while recovering unit from site of sinking.	nonsif
Employee was climbing the stairs on the south east side of the float plant.	nonsif
Reader walked away from an idling vehicle.	nonsif
The interior was in clean condition.	nonsif
Once done scraping the windows the reader walked inside of the building.	nonsif
Crew did not realize that her face in line of fire.	nonsif
Stop the crew and ask he to change he position.	nonsif
maintenance on equipment trying to remove a stuck drip tray under the machine.	nonsif
Employee was working as the machine operator on DM.	nonsif
There was a jamup on DM machine.	nonsif
The employee strained his knee when he stepped off the conveyor cross over.	nonsif
Employee states on DOI.	nonsif
ob RT cradle load x yrs.	nonsif
Ergo relief job.	nonsif
While loading the cradle onto the platform with both hands the hoist got jammed.	nonsif
One of the clamps did not let go.	nonsif
The dust in the bin got in my left eye.	nonsif
TDC Oldest DSOC in South Region.	nonsif
A collaborator was playing soccer into soccer field plant before his shift.	nonsif
He received first aid care and went to work.	nonsif
In July employee received a laptop computer prior going to Navarre for two weeks.	nonsif
Previously he had worked on a desktop.	nonsif
Experienced discomfort in right forearm and a tendon popping up in wrist.	nonsif
I did nt notice the it on the floor and tripped on it.	nonsif
Shadow board is no longer in use and was thrown in trash after incident.	nonsif
It smarted and EE felt feverish.	nonsif
PTL wrote work order to remove drawer.	nonsif
Work order number not provided.	nonsif
Drawer removed and issue resolved.	nonsif
The injury prevention specialist referred the employee to OHS.	nonsif
The employee was released to full duty by the nurse.	nonsif
The employee wore a knee brace from a previous condition.	nonsif
The employee was given direction to follow up on.	nonsif
The employee followed up with the nurse and was returned to work without restrictions.	nonsif
Employee s were pulling the batch charger out from melter.	nonsif
They had a come along attached to the charger and support brace.	nonsif
As the employee was pulling the back end of the charger it tipped forward.	nonsif
Injured employee than used a pry bar to the charger.	nonsif
During task he felt a pop in his right knee.	nonsif
Employee got sprayed with water.	nonsif
FSR WAS AT A SMALL CAPITAL START UP SITE.	nonsif
THIS COULD HAVE CAUSED HIM TO FALL.	nonsif
Magnet Quench occured after ramp up process.	nonsif
The B mechanic was commended on his utilization of the Smith keys.	nonsif
The empoyee was pulling the ring that releases the dock leveler for dock door.	nonsif
After inspection of the ring a metal burr was found which caused the incident.	nonsif
Avoiding Time Pressure A fault on fault developed in Woodstock with TRs customers stranded.	nonsif
Crews brought a foot temp cart to the location.	nonsif
BRUSH FIRE STARTED BY AGROCK TRAIN ACROSS FROM THE FT GREEN PAVILION.	nonsif
While going to luncha herd of antelope ran out in front of me.	nonsif
I had to hit brakes hard and swervee to keep from hitting of them.	nonsif
Reported to incorrect region.	nonsif
Employee was loading product code in Able van at spot.	nonsif
Improper Range Finder Usage.	nonsif
This caused DRG measurements to be on the conservative side.	nonsif
For this reason we are confident that nothing in the field was missed.	nonsif
After this initial instruction all new employees were given identical training.	nonsif
WRONG SWITCH IDENTIFIED.	nonsif
Two Emergent work orders came into screening to schedule Hot spots at TSS.	nonsif
Good Catch by the supporting Arranger for TSO.	nonsif
Tripping Hazard Oversized material overhanding on a pallet to cause a tripping hazard.	nonsif
Unused box and plastics are put outside shelter area not in proper place.	nonsif
Need to remove the waste.	nonsif
The waste has been removed.	nonsif
The West feed KG leaked acid on initial stroke onto the mechanics.	nonsif
Line installing strain relief bushings with hand tools.	nonsif
Gene Payne will help facilitate modifications to the three carts.	nonsif
Lean AWO during FW will address this issue.	nonsif
Noticed nail in tire ET was unable to safely access the meter.	nonsif
Hazards were appropriately mitigated.	nonsif
ET properly briefed the Supervisor upon arrival to the job site.	nonsif
EE did nt have fall protection in.	nonsif
This work was being conducted in the cable space vault at TDC Downers Grove.	nonsif
Employee was pushing a cart with an AGV battery.	nonsif
Employee was working on the Ballmatt assembly area.	nonsif
Tooling left in Aux Compartment IRELAND.	nonsif
Returned tooling to tool container Returned tooling to tool container.	nonsif
Job Industrial Mechanic leader x years MILLWRIGHTS.	nonsif
Area below work was barricaded and watchman present.	nonsif
It burned through the tongue of my boot and burned my foot.	nonsif
Employee was lancing a nozzle and steel splashed on employees glove.	nonsif
Employee was wearing proper PPE Welders glove.	nonsif
Steel went through and burnt left hand.	nonsif
Securing fuel hose.	nonsif
Hand hit engine pulling hand out of car to grab bracket.	nonsif
Employee was removing a breaker from the fuse panel on RFL.	nonsif
Screw was hard to remove grounded wire sparked and burn finger.	nonsif
pipe rack Employees left arm touched a hot steam line burning his upper arm.	nonsif
I had a company come in to weld stainless steel.	nonsif
They were welding under the pipe in a awkward position.	nonsif
The machine was grounded and all unattended pits were covered and marked.	nonsif
All the crew members understood their roles.	nonsif
WAP signs and cones were used and the work was completed without incident.	nonsif
Employee not being attentive to surroundings.	nonsif
No activity involved.	nonsif
employee was loading C inch multiwidth.	nonsif
While the employee was loading a roll she felt a pop in her elbow.	nonsif
When she got home from work it began to throb and pain worsened.	nonsif
Employee was in process of changing out the rotor on chain mill.	nonsif
went to restroom during lunch and slipped on water in the stall.	nonsif
Grating was removed to clear pluagge and not immediately replaced.	nonsif
When employee went to put box down the lanyard pulled off.	nonsif
As they are designed to do.	nonsif
tripped over own feet and fell forward towards belt table.	nonsif
The location of the shaft did not allow for much room to work.	nonsif
The MRO warehouse emergency exit is obstructed by a Van.	nonsif
Blown Shell s mlp mlp UNDER INVESTIGATION.	nonsif
Reported to site leadership new part ordered and awaiting repair replacement procedure.	nonsif
RCD out of date on T assembly line.	nonsif
retest update Tested and re labelled.	nonsif
On December Saturday at approximately I was working the roll up with Scott Osborne.	nonsif
The upper portion of my back between my shoulder blades started burning.	nonsif
I figured it would pass but it has nt.	nonsif
While modifying scaffold in D train at tower contactor got a little overheated.	nonsif
This LOTO audit was performed while crew was repairing a radial fault.	nonsif
I did not see any opportunities for improvement.	nonsif
Night time first responders responded to the incident and patched him up.	nonsif
No other complaints from employee.	nonsif
Took fender off platt putting into rack.	nonsif
Right index finger hit support on rack jamming finger.	nonsif
Pain is at nd knuckle.	nonsif
Mechanic was retreiving parts from the warehouse using telehandler.	nonsif
Site Name SMUD ConsumnesLocation City State Country.	nonsif
Herald CaliforniaLocation of Observance GT Turbine DeckObservation.	nonsif
CONE USAGE AND BARRIERS ON JOBSITE.	nonsif
The following took place during the Acid Plant Turnaround.	nonsif
The Mosaic employee immediately notified his supervisor.	nonsif
I was doing Hand Start Right Side Air Bags.	nonsif
damaged insulator At TSS.	nonsif
The mechanic showed crew leader the insulator and then contacted FLS.	nonsif
Good attention to detail.	nonsif
Employee was catching slurry sample and slightly over filled sample cup.	nonsif
Employee came to the clinic with reports of pain in right forearm wrist.	nonsif
EE relates it to lack of job rotation.	nonsif
Stepping down from tractor stepped on uneven gravel area.	nonsif
Hillary was doffing winder position.	nonsif
The position had broken out at the bushing level.	nonsif
As Hillary felt the glass come in contact with her back she stood up.	nonsif
After scanning the transmission I turn right and hit me with the support.	nonsif
This left small pieces of glass in employee s upper arm.	nonsif
LIVE CABLE IN CP BOX LIVE SPLICES IN CP BOX TO BE REMOVED.	nonsif
AND PRIVATE STREET LIGHTING.	nonsif
S EE enters medical with laceration to L Leg Shin.	nonsif
EE states I cut my leg on steel rack that holds containers.	nonsif
Dept JS DA Trim on door Line Sup Mike.	nonsif
Light out in stairwell LC Garage.	nonsif
This makes it very dark in that area.	nonsif
IP sustained cut to hand on rough brick surface of cupboard internals.	nonsif
Scrap metal dumpster due to snow on the cover makes it impossible to open.	nonsif
Remove snow and ice.	nonsif
Maintenance removed snow and ice with snow rake and power lift.	nonsif
FA was applied and EE was sent to clinic for follow up.	nonsif
rcs sokszor vizes s ez csszsveszlyes.	nonsif
HR Regulatory EHS Audit Finding added Power Generation Manufacturing Veresegyhaz.	nonsif
Hungary GE Power.	nonsif
The pole was stenciled with two numbers.	nonsif
forearms were scratched later broken out and inflamed and itchy.	nonsif
EE noticed burning smell behind RPh hood.	nonsif
need to find new way of getting dies out of the rings from the.	nonsif
it is unsafe to do so they way they are doing it.	nonsif
Crew Noticed Potential Strain on Isolation Point Switch.	nonsif
While removing conductors and wire as part of a NERC Clearance project.	nonsif
Crew leader took time to describe ZOP and show open switch in substation.	nonsif
Employee was repairing a peripheral tower.	nonsif
He received a shock to his hand.	nonsif
Then first aid treatment was given and back to work.	nonsif
EE was working on welding a part with the appropriate PPE leather gloves.	nonsif
Fall Engagement Sessions Action Items Fall Engagement Sessions were held with Field Employees in.	nonsif
The focus on the sessions was Safety.	nonsif
Several opportunities were identified.	nonsif
Scaffolders working at height without using any warning tape or barricading prevention.	nonsif
FE was vacuuming the slip ring on a CT system.	nonsif
Case CC Hearyland System ID.	nonsif
Follow up with Dan to see what actions have been taken on previous incident.	nonsif
When he went to stand up he hit his head on a bracket.	nonsif
The bracket holds the back cover on.	nonsif
His head immedicately started to bleed.	nonsif
He went to the ER at Missouri Baptist Hospital.	nonsif
There he received three stitches.	nonsif
This exact same injury occured a couple of months ago in the Chicago area.	nonsif
On the handle it was sharp that poke me on my finger.	nonsif
Hose hangers in core are high up and hard to reach.	nonsif
See pictures below.	nonsif
Sprain strain to right shoulder that struck against rack.	nonsif
During retreatment WUCS glass in the big bag the palet shifted towards the operator.	nonsif
The operator felt a pain in his right shoulder.	nonsif
Treatment the nurse applied an ointment.	nonsif
TBT Start and Finish Safety.	nonsif
A squall line came through the area with heavy rain and gusty winds.	nonsif
The north and south wheels are both on the ground.	nonsif
Employee was working on a RF amp.	nonsif
Foam cover was made to cover edges while being worked on.	nonsif
Employee tried to short cut by stepping over step stool instead of around.	nonsif
Reminded coworker our fall protection policy and the cut hazards of the blades.	nonsif
EEs finger immediately started bleeding and was bent to the side.	nonsif
EE was diagnosed with an open fracture of the right index finger.	nonsif
Old hoist wiring from Removed from Service hoists are still on the jib beams.	nonsif
Several trucks were noted to have expired first aid items some dating back to.	nonsif
CPR expired items dating back to April May.	nonsif
Propane bottle was not capped in truck bin.	nonsif
Line of Fire kit was deployed.	nonsif
OJT book was onsite and up to date.	nonsif
Worker was cleaning Portable CC clay modeling machine Tauris.	nonsif
The last crew was off company and on sleep time.	nonsif
The proper PPE was worn and three way communication was used.	nonsif
Reviewing Time Sheet.	nonsif
It was identified as a street vault so crew needed a extra FTE.	nonsif
Crew leader inform the duty supervisor that they need a extra FTE.	nonsif
At this time a call out would have arrived several hours later.	nonsif
FLS instructed the crew to set the job up foe the next shift.	nonsif
Next NHG crew had orders to complete the work.	nonsif
MY RIGHT HAND IS HURTING AND SWOLLEN.	nonsif
I M USING THE POWER TOOL WITH MY RIGHT HAND FOR THE ORC JOB.	nonsif
EE was evaluated in medical with concerns for overheating.	nonsif
EE stayed in medical to cool down and hydrate before RTW.	nonsif
Both phases were being held by strands on al.	nonsif
O vehicle operations.	nonsif
The Ironworker was cutting a PT cable that was too long.	nonsif
No one was in the area below at the time.	nonsif
Loading drums for recycling loading unloading.	nonsif
Kuisen van slangen cleaning operations.	nonsif
MD cord are all tangled.	nonsif
E Train TA CMW workers were repairing convertor first bed supports.	nonsif
Warn nightshift electrician s team about this concern.	nonsif
The dayshift one will be advise to install these signals.	nonsif
Manual lifting of barrells puts workers at risk of injury.	nonsif
Need to provide mechanical lifting capability and communicate expectations of use.	nonsif
Jeff had pink floor cleaner on the floor.	nonsif
My fingers left hand and neck are also sore.	nonsif
The employee suggested for a designated parking spot for pregnant female coworkers.	nonsif
The employee stated that they would carry one in the vehicle from now on.	nonsif
In doing so I felt a pop in my shoulder.	nonsif
EE was seen working without safety glasses.	nonsif
When interviewed EE stated they left them at home.	nonsif
EE had been working for at least hours prior to being questioned.	nonsif
Employee was evaluated for back pain alleged to MVA.	nonsif
The employee was released to full duty.	nonsif
This McCrometer was defective from the manufacturer.	nonsif
Employee hurt his upper left hand shoulder area.	nonsif
He showed me that there where no sharp edges.	nonsif
told him to be careful any ways assembly operations.	nonsif
Weight approx lbs.	nonsif
Left arm right foot left shoulder back right leg.	nonsif
Training of the personnel handling Autopsy.	nonsif
Employee was cooking breakfast during the manager s breakfast.	nonsif
Part was over on top of rack while loading.	nonsif
Pulled fascia off top of rack and debris fell into left eye.	nonsif
Causing instant irritation and burning.	nonsif
Flushed eyes for minutes.	nonsif
Still irritated and sore.	nonsif
Employee was assisting with installation at Frisco Urgent Care for a CT system.	nonsif
Employee was assisting in running cables during the mechanical installation phase.	nonsif
After a time left shoulder became somewhat painful.	nonsif
good catch incorrect one line print.	nonsif
Boom truck operation.	nonsif
The entire facility was interrupted.	nonsif
A possible MW generator deployment was discussed.	nonsif
An initial Multiple attempts to engage alternate South Region Management failed.	nonsif
The OCC IDTs then went into action.	nonsif
Some material removal is still required FLS and crew notified.	nonsif
Dpt disassembly operations.	nonsif
Exposed Company Phone List.	nonsif
The employee was using a tube popper at the time.	nonsif
I am using a drill to drill parts on the engine.	nonsif
The drill got hot and I touched the hot part.	nonsif
We used this as a safety share in the morning meeting.	nonsif
We discussed this and talked about rushing especially when it is wet outside.	nonsif
Machine guard for a piston lathe is sitting behind E wash tank.	nonsif
employee injured left hand while working.	nonsif
Cables ends not being taped after cutting.	nonsif
he also has amputation of ld at distal joint which happened yrs ago.	nonsif
Developed numbness starting Thursday.	nonsif
Supervisor Alyssa D Angelo dept job.	nonsif
Bathroom cleanliness is much to be desired.	nonsif
Not sure what the contaminate was as nothing was ever found.	nonsif
PPE fit well and was worn appropriately at the time.	nonsif
This would avoid getting muscle strain and or wrist arm injury for repetitive motion.	nonsif
Air tool was purchased and installed to eliminate ergo concern.	nonsif
Concerns over reduce grip between metal pallets and metal forks.	nonsif
Granger Maintenance was working on the second floor of the TG Building.	nonsif
The removable handrail at the access doorway was not in place.	nonsif
There was no barricading or attendant.	nonsif
Worker was near edge without fall protection.	nonsif
Also issue with improper rigging and line of fire.	nonsif
DA pole rip design discrepancy PD R.	nonsif
I took a deeper dive into the finding out the conditions in the field.	nonsif
The manhole report noted that transformers were being removed as of October.	nonsif
Design Pkg Developmt.	nonsif
No damage was visible on the trailer.	nonsif
EE states on at am I was getting ready to deck the car.	nonsif
Tags on sprinkler riser do not indicate pressures recorded for annual test.	nonsif
machining packing in the CNC machining.	nonsif
Employee was walking out from the cooling tower during power outage.	nonsif
Employee tripped and fall on a roll of plastic tubing lying on the ground.	nonsif
Unit rotor in the T balance mc equipment operation.	nonsif
Employee has felt discomfort for several weeks.	nonsif
Today the discomfort intensified.	nonsif
Employee is currently working F handling armstrong basic.	nonsif
This material is a higher weight than employee normally handles.	nonsif
Situation probably aggrivates discomfort.	nonsif
The FLS check the customer notes which dog was notated.	nonsif
The reader was commended for remaining calm and being prepared to protect themselves.	nonsif
Upon inspection the crew found a hole burnt in one of the sleeves.	nonsif
Bucket Machining in CNC machining.	nonsif
The employee was evaluated by OHS and released to full duty.	nonsif
Need to scrap and dump all.	nonsif
Have been cleaned up.	nonsif
There was leaking cans placed in a container for pickup.	nonsif
Overall crew was well organized and used good safe working behaviors.	nonsif
Crew did a great job at cleaning as they worked.	nonsif
Area was neat and organized.	nonsif
Crew discussed use of EFTB tools and defenses to be used.	nonsif
I felt a pop in my lower back.	nonsif
Deiseal storage in unsuitable container.	nonsif
Provide metal container.	nonsif
Informed the supervisor and disposed of the container safely.	nonsif
Sting thorn index right hand.	nonsif
Employee came close to walking into a sign near Door.	nonsif
The sign was for wet wax on the floor.	nonsif
Leadership safety deviations.	nonsif
There was a bit of a concern regarding the on site leadership.	nonsif
I noticed an individual working without safety glasses when I approached the job site.	nonsif
When he came to brief me he still did not have glasses.	nonsif
Damaged oil dirt mats at entrance of HP floor.	nonsif
Replaced by new ones immediately by CMI team.	nonsif
While conducting field audits supervisor found an emp practicing unsafe work practices.	nonsif
EE was putting stock on rack and scraped rt lower leg on metal.	nonsif
TDC Mokena kV Bus Lockout.	nonsif
J remained open for investigation of the breaker failure trip.	nonsif
The relay issued a trip to the bus lockout immediately upon seeing the fault.	nonsif
RP therefore issued incorrect settings on including the improper breaker failure timer setting.	nonsif
This was only the case on J.	nonsif
The fault was cleared by initiation of a kV Bus lockout at TDC Mokena.	nonsif
kV Bus locked out isolating kV feeders J J J J.	nonsif
total customers were affected.	nonsif
strand mold water was locked out to change the mold level detector.	nonsif
Employees states that they are okay.	nonsif
Employee was holding onto arms of chair as she stood.	nonsif
Chair rolled backwards faster than expected and she fell onto the carpet.	nonsif
I was in column L L.	nonsif
The employee was nt wairing the hearing protaction.	nonsif
nonspecific site activity.	nonsif
Had to change lanes to avoid hitting vehicle.	nonsif
Employees doing routine maintenance on conveyors.	nonsif
This was carried out.	nonsif
There were no injuries or property damage.	nonsif
the crew began to use the breaker when the spotter stopped the work.	nonsif
He noticed a trail of oil coming down the piston of the breaker.	nonsif
They resumed the work and the oil trail was noticed again.	nonsif
During the process she felt pain in her low back and right leg.	nonsif
Accident to be communicated to the CS team as a Heads up.	nonsif
Employee almost drove truck into washout.	nonsif
We filled the line with condensate to conduct a water check.	nonsif
When the object came out the force caused the hammer mill blade to spin.	nonsif
cut finger on sharp edge of metal.	nonsif
Also puts the gas tank on the ergo arm and loads on the RT.	nonsif
OSHA inspector visit.	nonsif
The Inspector took their names and left the jobsite without providing any other information.	nonsif
He asked that the Crew come down from the roof to speak with him.	nonsif
office work tania hackens office work.	nonsif
An employee was dismantling a table in order to pack it up.	nonsif
While doing so he felt a sudden paint in his right forearm.	nonsif
He stayed at home for a while as it was recommended by the doctor.	nonsif
Pedro Verduzco is lifting and moving a compressor rotor today in the high bay.	nonsif
angel program gerardo gonzalez.	nonsif
HOUSEKEEPING Enhanced Audit I performed this audit on.	nonsif
They had the correct ZOP and the designated authority was contacted.	nonsif
The trucks were set up properly to perform the work.	nonsif
I did nt observe any oil or hydraulic leaks on or around the equipment.	nonsif
This audit took place at rd and Latrobe in Bedford Park.	nonsif
The crew leader performed a walk down and held a job brief.	nonsif
The job brief was filled out correctly.	nonsif
Some of the job hazards were uneven surfaces and working next to railroad tracks.	nonsif
Employee was backing up.	nonsif
EEs vehicle spun around several times before hitting a high snow bank.	nonsif
Upon hitting the snow bank EE struck the drivers side door with his shoulder.	nonsif
Report incident to field with refresher of five steps to sfe driving.	nonsif
It is believed a small patch of water was present on the floor.	nonsif
C and Tritium to position absorbent roll in the vicinity of the storage are.	nonsif
The homeowner would report the outage later that evening directly to CE.	nonsif
There were no injuries as a result of this incident.	nonsif
The locator completed his documentation and left the jobsite.	nonsif
Employee in Building reports injury to low back that occurred at PM.	nonsif
Since it was still clamped she pulled lower back.	nonsif
She reports maintenance was looking at machine and had the door open.	nonsif
Verify that current SRA for job reference hazard of not releasing mechanism.	nonsif
Discussion with employee on actions errors.	nonsif
He then put his other foot down on the ground to catch himself.	nonsif
Molding workshop drawing gloves glass silk finger pricks.	nonsif
Barricading provided for all swing radiuss of operational equipment Closed.	nonsif
Employee was transporting a compressed gas bottle using a homemade bottle cart.	nonsif
The cap was on the bottle.	nonsif
The Cut Sew forklift horn does not work.	nonsif
transformer noise AB.	nonsif
Employee states that he was transfering a HP work station to a new site.	nonsif
Employee cut his head reported to ER and the wound stapled closed.	nonsif
Communicate RCA to teams.	nonsif
The result was that the underlay had broken and the machine was stopped.	nonsif
Approximately gallons of on road diesel spilled onto the truck mats.	nonsif
This could have caused him to Trip and fall.	nonsif
Cut to middle finger knuckle on left hand whilst moving furniture to access cupboard.	nonsif
there was a chuck standing by the prrep area.	nonsif
Put chuck away when not in use.	nonsif
Employee picked up a lb label machine off a stand approx to ft high.	nonsif
He was taking the machine for cleaning and repairs.	nonsif
He then was placing the machines back on the line.	nonsif
L RT CAM BOLT FEM TO RAIL year.	nonsif
Entry point control during stairwell cleaning LC garage.	nonsif
While exiting the office for the day the parking garage stairwell was very wet.	nonsif
EE did not think it was anything serious at the time.	nonsif
EE reported the injury weeks later on.	nonsif
EE was asked why he did report it earlier.	nonsif
EE said he thought it would just go away.	nonsif
EE was reminded that all injuries must be reported.	nonsif
S EE enters medical with superficial laceration to R Thumb.	nonsif
EE states I was breaking down cardboard moving a wooden pallet.	nonsif
It has staples in it.	nonsif
I grabbed the wood pallet.	nonsif
The staples scratched my skin and it start bleeding.	nonsif
In addition she was advised to take Tylenol for the pain.	nonsif
The next day the employee came in and stated that her leg still hurt.	nonsif
She was brought in to the clinic that same morning.	nonsif
They X rayed the employee and found nothing broken.	nonsif
It was classified as a contusion to the leg.	nonsif
A follow up appointment on Monday April th was scheduled with the same clinic.	nonsif
The employee was in the process of leaving for the day.	nonsif
She reported it to her immediate Manager who was still on site.	nonsif
She did not appear to be seriously hurt.	nonsif
She preferred not to go to the clinic at this time.	nonsif
Gun was off but had not completed cooled.	nonsif
Gun sits on table top poining in the upward position.	nonsif
Conduct an audit for other instances of heat gun use.	nonsif
Install holding fixtures for heat guns on all applicable work stations.	nonsif
Operator using tongs to move stock within Range Cells.	nonsif
Lead Shielding on exterior of cells came away sliding down tong arm towards operator.	nonsif
The machine was in automatic mode.	nonsif
Employee asked an admin to throw some files.	nonsif
Another employee was walking and stumbled with the files.	nonsif
Only a near miss.	nonsif
has the potential for a tripping hazard.	nonsif
EE was welding a pipe of an accessory gear base.	nonsif
He had welding shield on during the operation.	nonsif
After removing the shield he felt some discomfort on his left eye.	nonsif
Some elemets are expired in the first aid box.	nonsif
The expired items have been changed.	nonsif
Vinscx CN Meter room used for storage.	nonsif
Related to using Lt hand arm to constantly turn jitney steering wheel.	nonsif
He was uninjured but could have been seriously injured.	nonsif
Dredge Oilier notified Supervisor of the incident.	nonsif
This occurred when both leaving from and arriving to the area office.	nonsif
Pothole in floor between posts at front bundling station needs repair.	nonsif
Employee was working on the XC Polymer Process in Building media manufacturing.	nonsif
This is almost pure sulfuric acid.	nonsif
The gallon waste drum had mostly water in it from a previous batch.	nonsif
The splash hit spots on employees face.	nonsif
operator was using a skid steer loader with a rake attachment.	nonsif
while pulling rock the rake popped off coming in the cab.	nonsif
The Employee said he was ok.	nonsif
I WALKED OUT THE DOOR OF THE NEW TUNNEL.	nonsif
I LET THE DOOR GO WHEN MY FEET LEFT THE GROUND.	nonsif
I M NOT SURE IF I BLACKED OUT.	nonsif
MY HEAD WAS REAL HOT LIKE I WAS BLEEDING.	nonsif
EVEN MY TITANIUM KNEE HURTS.	nonsif
Also when the top is flipped closed there are pitch points on the latches.	nonsif
Excavation WAP signage placed at all points of access in an industrial park area.	nonsif
Everyone was wearing proper PPE FR in good condition.	nonsif
OES hand dug and exposed the cables wound.	nonsif
There were no HP events or RTDB violations.	nonsif
Vehicles secured housekeeping good.	nonsif
OES on site conducting switching and de energize lines.	nonsif
Foreman approached and conducted a job briefing.	nonsif
The plywood did not have HOLE written on it.	nonsif
The foreman was coached and informed this was an OSHA requirement.	nonsif
My previous concern has been closed without taking any actions.	nonsif
I am still having the same static electric shock.	nonsif
Please take action accordingly.	nonsif
Whenever I thouch my chair I get shocked from static electric.	nonsif
everybody in the office has the same problem.	nonsif
I tried to push the screw back into machine and it snugged my finger.	nonsif
dept Job station Supervisor Matthew Samotis.	nonsif
Area Operator Found Insulator Broken Off Structure.	nonsif
While performing switching and a station PM.	nonsif
