Documents	Fatality_Category	Fatcat_Index
Worker was performing roadway repair and was hit by a vehicle.	powered vehicle	340
Worker performing construction activities injured after falling from a ladder.	fall from height	3400
Worker performing welding work was shocked .	electrical hazard	3401
Worker performing construction activities injured when he was ejected nearly 30 feet from an aerial lift.	crane/boom or similar	3402
Worker operating a core pole assembly machine injured after being caught in between two conveyors.	crushed by machinery/moving objects	3403
Worker using metal poles to catch bats was shocked when the poles touched power lines.	electrical hazard	3405
Worker was hit by a rack of baked goods.	crushed by machinery/moving objects	3406
Worker at feed mill loading a feeding truck fell while standing on a 9inch beam.	powered vehicle	3407
Worker processing a coil of rolled steel was hit by the steel roll and hit between the roll and processing line.	falling or propelled object	3408
Worker cutting down trees collapsed and injured from a possible heat stroke.	heat stress or non-specific	3409
Worker was hit in the head by the top of a injured tree that was falling.	falling or propelled object	341
Worker mowing lawn near canal injured when mower fell into water hit worker underneath.	powered vehicle	3410
Worker performing tree trimming operations was hit and injure by a tree limb.	falling or propelled object	3411
Worker doing flagging operations was hit and injure by a vehicle.	powered vehicle	3412
Worker at a metals refinery plant collapsed and injured from possible heat stress.	heat stress or non-specific	3413
Worker performing repairs to an elevator fell 26 feet.	fall from height	3414
Worker performing work on a drill rig injured from exposure to hydraulic fluid after a cylinder cracked from extreme pressure.	crushed by machinery/moving objects	3415
Worker was hit by falling sheet metal.	falling or propelled object	3416
Worker suffered mild head injuries after he was runover by a transport truck.	powered vehicle	3417
Worker installing a billboard was shocked when metal from the sign touched a power line.	electrical hazard	3419
Worker was hit by steam roller.	powered vehicle	342
Two workers were struckby and hit against the back of a dump truck after being hit by a vehicle.	powered vehicle	3420
Worker injured from asphyxiation while performing maintenance on a tractor inside a closed garage.	powered vehicle	3421
Worker checking windmills injured after falling from structure.	fall from height	3422
Worker injured from possible electrical shock.	electrical hazard	3423
Employee suffered mild head and spine injuries after falling off of a dumpster.	fall from height	3424
Worker suffered mild injuries after falling approximately 50 feet from a manlift.	fall from height	3425
Worker injured after a tree fell on him while performing tree trimming and cutting activities.	fall from height	3426
Employee assisting forklift operator injured after being hit by the forklift load.	crushed by forklift or similar	3427
Worker installing anchorage points on a roof injured after falling to the concrete.	fall from height	3428
Roofing worker injured after falling from a structure onto the ground.	falling or propelled object	3429
The worker fell from the scaffold after being shocked . The worker injured at the hospital while receiving treatment.	electrical hazard	343
Employee injured after falling approximately 12 feet while removing ceiling tiles.	fall from height	3431
Worker injured after falling 15 feet out of a trash box being lifted by a forklift.	crushed by forklift or similar	3432
Employee was shocked while working on a downed wire.	electrical hazard	3433
Worker injured after falling nearly 70 feet while attempting to exit a manlift onto a buildings 5th floor.	fall from height	3434
Worker injured after falling approximately 20 ft from a roof.	fall from height	3435
Worker injured after being hit beneath an ATV he was operating.	crushed by machinery/moving objects	3436
Worker injured after falling approximately 75 feet from a service rig.	falling or propelled object	3437
Roofing worker injured after falling approximately 30 feet from a residential roof.	fall from height	3438
Worker operating a bulldozer injured when she was runover by the machine while trying to jump from it when it caught fire.	crushed by machinery/moving objects	3439
Worker was in the process of removing a box that contained a bicycle from a storage rack. He was standing on the second or third step of a step ladder. The box fell forward and he fell from the ladder hit his head on the floor.	crushed by machinery/moving objects	344
Worker was hit by a tree that was being cut down.	falling or propelled object	3440
Worker injured from severe abdominal injuries after being hit by a pneumatic door.	crushed by machinery/moving objects	3441
Employee injured after being hit between a forklift and metal storage racking.	crushed by forklift or similar	3442
Worker injured from head injuries after being thrown from his forklift.	crushed by forklift or similar	3443
Worker injured from injuries after falling from an elevated surface.	fall from height	3444
Worker at a recycling facility was hit under a forklift after it tipped over.	crushed by forklift or similar	3445
Worker operating vehicle injured when it rolled down an embankment.	crushed by machinery/moving objects	3446
Worker injured after being hit by lightning while collecting his tools from a roof.	fall from height	3448
Worker was injure when he was hit beneath the cab of a yard tractor he was repairing.	powered vehicle	3449
Worker was riding on a golf cart stood up and fell hitting his head.	powered vehicle	345
Worker driving a maintenance cart injured from head trauma when the brakes failed causing him to hit a wall.	powered vehicle	3450
Worker injured after falling in between the rear tires of a semitruck after the truck lunged forward.	powered vehicle	3451
Worker injured when a tree fell on her while she was building a fireline.	falling or propelled object	3452
Worker laying pipe inside a trench was injure when another pipe fell on the worker.	falling or propelled object	3453
Worker was injure after an 18wheeler delivering a machine hit the worker.	crushed by machinery/moving objects	3454
Worker cleaning up broken glass at a bottling plant injured after being hit by a machine that molds materials into pellet shapes.	crushed by machinery/moving objects	3455
Worker was shocked while installing wiring at a residence under construction.	electrical hazard	3456
Worker injured after falling 30 feet while removing bolts from a crane rail.	fall from height	3457
Three workers were hospitalized after they were injured by a partially collapsed roof.	crushed by machinery/moving objects	3458
Three workers inside a vessel were hospitalized for burns when a flash fire occurred.	fire/explosion	3459
Worker was backed over by bucket truck.	powered vehicle	346
Worker opening a filter casing injured from burns after being sprayed with 100 degree celsius hot condensate.	fire/explosion	3461
Worker performing roofing activities suffered a heat stroke and later injured .	heat stress or non-specific	3462
Worker injured from chemical burns after a varnish applied to a floor caught fire.	fire/explosion	3463
Worker putting up a pump jack scaffold was shocked after contacting a 7600volt phase line.	electrical hazard	3464
Worker injured after falling backwards while on the drillling floor of a rig.	falling or propelled object	3465
Worker overseeing the operation of an oil rig was hit and injure by a truck.	powered vehicle	3466
Worker injured from severe head injuries after falling from a tractor trailer.	powered vehicle	3467
Worker injured after falling through a first floor hole onto the basement floor.	fall from height	3468
Two workers injured from injuries sustained in a demolition dust fire	fire/explosion	3469
The worker was operating a skidder during a logging operation when the skidder turned over. There were no witnesses. The worker was hit under the skidder. Emergency services arrived and was pronounced injured .	powered vehicle	347
Worker loading his vehicle with building supplies was hit and injure by a bus.	powered vehicle	3470
Worker was hit by a tree that was being cut down.	falling or propelled object	3471
Worker was injure after being hit by an excavators bucket	crushed by machinery/moving objects	3472
Worker in a bucket truck was shocked after contacting a 7200 volt electric line.	electrical hazard	3473
Worker operating a dump truck used for road resurfacing was injure when truck rolled into a ditch.	powered vehicle	3474
Worker was hit and injure by tree pines that slipped out of boom truck.	falling or propelled object	3475
Worker was hit under the rear wheels of a truck.	powered vehicle	3476
Worker at an automobile assembly plant was hit in machine.	crushed by machinery/moving objects	3477
Worker at a vineyard was hit in a wine press.	crushed by machinery/moving objects	3478
Worker repaving highway ramp injured after being hit by vehicle	powered vehicle	3479
Worker fell from top of truck and later injured 11/8/2009.	powered vehicle	348
Worker at an industrial gas plant injured from carbon monoxide exposure.	chemical exposure	3480
Worker injured from injuries sustained while operating a machine used to test hydraulic cylinders.	crushed by machinery/moving objects	3481
Worker inside an asbestos pulverizing unit injured from injuries after a combustible dust explosions occurred when equipment malfunctioned.	fire/explosion	3482
Worker was hit and injure by a payloader that was moving concrete barriers.	powered vehicle	3483
Worker driving a loaded gravel truck was injure when the brakes failed causing vehicle to hit trees.	powered vehicle	3484
Worker was hit and injure by the bucket of a backhoe while inside a trench box.	crushed by machinery/moving objects	3485
Worker at a chemical products warehouse was hit under a 4000pound storage container.	falling or propelled object	3486
Worker removing old shingles from a residential roof injured after falling from roof	fall from height	3487
Worker fell 17 feet through a metal roof landing on a concrete floor.	fall from height	3488
Worker was looking up at a box performing work activities and passed out hitting his head.	fall from height	349
Worker using a ladder to install brick board injured after falling off the ladder.	fall from height	3490
Worker sheeting the roof on a twostory building suffered mild head injuries after falling 21 feet to the ground.	falling or propelled object	3491
Worker for a fence company sweeping the fence production area was shocked .	electrical hazard	3492
Worker preparing to cut tree limbs injured after falling 40 feet to ground.	fall from height	3493
Worker was behind truck and was caughtbetween truck and loading dock.	powered vehicle	3494
Elevator mechanic was shocked while working on a panel.	electrical hazard	3495
Worker at a golf country club injured after falling from the mezzanine inside a storage barn.	fall from height	3496
Worker banding together logs was hit and injure by a falling log.	falling or propelled object	3497
Worker was hit by a haywire and was hospitalized treated and released. Several days later worker was found injured at home due to complications resulting from incident.	various	3498
Worker injured after a granite slab fell on him.	falling or propelled object	3499
Employees were using a dozer to try and get an overturned allterrain forklift back on its wheels. They attached a synthetic strap with a shackle to pull the forklift and turn it upright. The eye of the strap broke hit the worker who was in the cab.	crushed by forklift or similar	35
Two workers were checking tensioning on cables for a cable guardrail along the intestate when a pickup truck pulling a trailer lost control and crossed the median hit both workers.	powered vehicle	350
Tree trimmer was shocked after contacting a power line	electrical hazard	3500
Worker injured from head injuries after falling off of a conveyor.	crushed by machinery/moving objects	3501
Worker was injure after being run over by a skidder machine.	crushed by machinery/moving objects	3502
Worker erecting a pump jack scaffold system was shocked when the pole he was using contacted a power line.	electrical hazard	3503
Worker was preparing aerial fireworks when an explosion occurred. Worker was hospitalized but succumbed to injuries on 9/2/2012.	fire/explosion	3504
Worker operating a crane to put a trailer on beams was injure when the trailer fell on worker.	crushed by machinery/moving objects	3505
Worker injured after the semitractor/trailer he was driving overturned.	crushed by machinery/moving objects	3506
Employee for an energy supply company was shocked .	electrical hazard	3507
Employee was hit when a jack supporting a tractor trailer failed causing the trailer to fall on him.	crushed by machinery/moving objects	3508
Worker operating a forklift injured from head injuries after being hit by a beam.	crushed by forklift or similar	3509
Worker injured after falling from a roof.	fall from height	3510
Worker shocked while rewiring a breaker panel for a smoke generator.	electrical hazard	3511
Worker was injure in motor vehicle accident due to weather conditions.	powered vehicle	3512
Worker injured after falling through a roof opening and hitting concrete floor.	fall from height	3513
Worker at a packaging products facility injured after being caught between two rolling parts of a paper machine.	crushed by machinery/moving objects	3514
Roadway worker flagging traffic was hit and injure by 18wheel truck.	powered vehicle	3515
Worker injured from fall from a ladder.	fall from height	3516
Employee was hit and injure by parts of a wastewater pump that exploded.	fire/explosion	3517
Worker was hit when a section of a road barrier fell on him.	falling or propelled object	3518
Employee repairing a lamp injured after falling from a ladder and hitting his head.	fall from height	3519
Worker was elevated in an aerial lift that collapsed.	crane/boom or similar	352
Employee performing painting services injured after being hit by a 2000pound flange housing.	crushed by machinery/moving objects	3520
Worker was hit and injure by construction equipment.	powered vehicle	3521
Worker was shocked while installing a conduit.	electrical hazard	3522
Worker changing irrigation pipes was shocked after the pipe contacted power lines.	electrical hazard	3523
Emplyoyee injured due to tractor trailer falling on him when the support jack failed.	crushed by machinery/moving objects	3524
Worker injured after falling 20 feet from a ladder.	fall from height	3525
Employee was hit and injure by a dump truck moving in reverse.	powered vehicle	3526
Worker was hit between the gate and post of a pen when letting bulls out to feed.	crushed by machinery/moving objects	3527
Employee injured from fall at work.	falls, often at ground level	3528
Worker hit and injure by a payloader used to move concrete barriers.	powered vehicle	3529
Worker hit and injure by a grain harvesting machine.	falling or propelled object	3530
Employee operating a waste truck was hit when it tipped over.	powered vehicle	3531
Worker mowing a hillside was injure when the mower overturned.	powered vehicle	3532
Worker performing maintenance work shocked after contacting an energized rail.	electrical hazard	3533
Carnival worker was mild hit by a rides spinning bucket.	crushed by machinery/moving objects	3534
Worker operating an aerial lift was shocked after contacting an overhead power line.	electrical hazard	3535
Worker was mild stabbed during a verbal altercation with a garbage truck operator.	violence, often during robbery	3536
Employee injured from a head injury after falling from a chair.	falls, often at ground level	3537
Worker changing a truck tire hit and injure by a chain on an excavator bucket.	crushed by machinery/moving objects	3538
Worker injured after being hit between truck and ground after truck rolled over into ditch.	crushed by machinery/moving objects	3539
Worker was removing a tarp from his pickup truck and was hit by a wheel end loader hit him.	powered vehicle	354
Worker pumping fluid out of a plastic tank injured when the tank exploded.	fire/explosion	3540
Trench worker injure after being hit between track hoe and 24inch pipe.	falling or propelled object	3541
Employee cleaning the processing area in a poultry plant injured after falling into a screw conveyor.	crushed by machinery/moving objects	3542
Backhoe operator injure when vehicle rolled over and hit him underneath.	crushed by machinery/moving objects	3543
Employee fell from ladder while performing work near gutter of house.	fall from height	3545
Employee injured after slipping on a wet floor.	falls, often at ground level	3546
Employee injured when a masonry wall collapsed on him.	falling or propelled object	3547
Employee was hit after being caught in a molding machine.	crushed by machinery/moving objects	3548
Worker performing residential framing injured after falling nine feet from the top of an interior wall.	fall from height	3549
Worker was performing duty in a grain bin and was smelled by grain.	falling or propelled object	355
Employee working as a wine blender injured from asphyxiation after being exposed to ammonia gas.	chemical exposure	3550
Worker injured after falling approximately 12 feet from a work platform to the ground.	fall from height	3551
Employee working in temporary work zone was hit and injure by a motor vehicle.	powered vehicle	3552
Worker operating a construction vehicle was injure when vehicle rolled over and down a hill.	powered vehicle	3553
Worker was injure after his shirt became caught in a lathe he was operating pulling him into the machine.	crushed by machinery/moving objects	3555
Worker unhitching a trailer injured after he was run over by another driver.	powered vehicle	3556
Worker making repairs to a tire compactor was hit between the compactor and a drum roller.	fall from height	3557
Worker run over and hit by track hoe.	powered vehicle	3558
Employee working on a roof injured from injuries after falling 20 feet to the ground.	fall from height	3559
Employee was hit between two 2500pound coils.	crushed by machinery/moving objects	3560
Employee injured after falling from a roof through a skylight while removing metal panels.	fall from height	3561
Worker injured after falling approximately 13 ft while checking the level of an asphalt oil tank.	fall from height	3562
Worker injured after falling approximately 80 feet while replacing insulators.	fall from height	3563
Worker injured after being hit by a chipper.	falling or propelled object	3564
Worker was injure after being hit between the dirt compactor he was operating and a wall.	falling or propelled object	3565
Worker was injure after being hit in the head by a cable that snapped during drilling operations.	falling or propelled object	3566
Employee injured after being hit by a tree branch while working on a landscaping site.	falling or propelled object	3567
Worker was injure while repairing an air compressor after a 2inch line separated and hit employee in the chest.	falling or propelled object	3568
Employee injured after falling through floor hole while installing metal decking.	fall from height	3569
Worker was engaged in work activities including rough terrain forklift operations and construction work and was walking up an incline away from the Lull carrying a screw gun box and was hit by the right rear tire of the Lull.	crushed by forklift or similar	357
Worker was pouring concrete when he was hit and injure by a vehicle being driven by another employee.	powered vehicle	3570
Worker injured after being hit on the head by a pallet that had fallen from a trailer he was preparing to unload.	crushed by machinery/moving objects	3571
Worker was hit when bucket of skid loader fell on him when he crawled under machine to disconnect a hydraulic line.	powered vehicle	3572
Employee was shocked when the forklift he was operating became entangled with a 440480 volt electrical line.	electrical hazard	3573
Worker was trimming a tree limb from an extended tree belonging to a neighbor and fell off ladder. Worker was hospitalized but succumbed to injuries and injured on 8/13/2012.	fall from height	3574
Worker performing maintanence underneath railroad equipment when hydraulic line disconnected and equipment lowered hit worker.	crushed by machinery/moving objects	3575
Worker was operating a front end loader to spread dirt in the wash and was unexpectedly swept away by a wall of water flowing at approximately 6570 MPH. Workers body was found on 9/14/2012.	various	3576
Worker drove service truck off road crashing into parked lear jet.	powered vehicle	3577
Worker was issued a firearm went outside and committed suicide.	violence, often during robbery	3578
Two workers transferring Furfurlyamine and Methanol from a storage tank to a reactor when an explosion occurred. Both suffered second degree burns and were hospitalized. One of these workers who suffered burns over 92 of body injured on 9/27/2012.	fire/explosion	3579
Worker was deep in a trench wrapping fence wire around the roots of an oak tree being transplanted. The wire broke and he was caught in a cavein.	falling or propelled object	358
Worker was installing reflectors when hit by a tractor trailer.	powered vehicle	3580
Worker was shocked when a 27foot ladder hoist the worker was moving fell backwards and hit two 7.62 kV overheard distribution lines.	electrical hazard	3581
Worker installing a tarp on a roof of a hotel stepped on the eave which collapsed resulting in worker falling approximately 26 feet on to parking lot.	fall from height	3582
Worker fell from attic to garage floor hit a flower base hitting the right artery by armpit resulting in loss of blood. Worker was hospitalized but injured in ER.	falls, often at ground level	3583
Worker was shocked in concrete electrical vault.	electrical hazard	3584
Worker performing repairs on bridge injure when man lift basket hit him against the bridge.	crane/boom or similar	3585
Worker was hit and injure by a horse being groomed.	various	3586
Worker hit and injure by truck.	powered vehicle	3587
Worker cleaning sump hole fell in and injured .	various	3588
Worker injured after fall from the deck of a bridge under construction.	fall from height	3589
Worker was reroofing a home and while walking on the ridge of the roof he slipped falling to the deck below.	falling or propelled object	359
Worker hit by computer cabinet that fell from a delivery truck.	falling or propelled object	3591
Worker injured after a fall on construction site.	fall from height	3592
Worker hit and injure by an outrigger while lowering a manufactured home onto blocks.	falling or propelled object	3593
Worker trimming a tree on a step ladder injured after being hit by a tree limb and falling to the ground.	fall from height	3594
Worker was hit by a boom on crane being used to lift generator.	falling or propelled object	3595
Smokejumper injured when his parachute canopy failed to deploy.	fall from height	3596
Worker injured when the dock underneath the tow tractor he was operating suddenly collapsed.	falling or propelled object	3597
Worker injured after being hit between a truck and a dumpster when the truck rolled.	crushed by machinery/moving objects	3598
Worker hit and injure by a light rail grinder train car.	powered vehicle	3599
Worker was working on a bucket truck repairing an exterior light fixture and fell 25 feet to the ground below.	fall from height	36
An explosion and collapse of the building structure resulted in 4 worker injured with the fourth succumbing to his injuries 11/19/2009.	falling or propelled object	360
Worker injured after falling from the 2nd story framing level.	fall from height	3600
Worker injured after falling from a cherry picker that was hit by a truck.	crane/boom or similar	3601
Worker performing construction road flagger duties was hit and injure by a truck.	powered vehicle	3602
Equipment operator injured when an excavator tipped and the cab became submerged in water.	various	3603
Worker injured when caught between the hitch and trailer of a dump truck.	powered vehicle	3604
Worker injured after falling from roof.	fall from height	3605
Worker loading a mechanical harvester injured when his leg got caught on a corn bale and pulled into the machine.	crushed by machinery/moving objects	3606
Cement truck worker injure in vehicle crash.	powered vehicle	3607
Worker was hit and injure by a pay loader.	powered vehicle	3608
Worker hit and injure by a dump truck.	powered vehicle	3609
The worker was repairing a skylight on the roof. He fell through the skylight area to the concrete pad. The worker injured on the scene.	fall from height	361
Worker injured after falling 25 feet while installing steel and insulation on deck.	fall from height	3610
Worker injured after falling 33 feet from aerial lift.	crane/boom or similar	3612
Five workers were hospitalized after being scalded by heated water released from a failed pressure valve on the machine they were cleaning.	fire/explosion	3613
Worker hit and injure by a passing automobile.	powered vehicle	3615
Worker injured after falling in a storage room and hitting his head on the concrete floor.	falls, often at ground level	3616
Worker injured when the walls of the trench he was working in collapsed.	falling or propelled object	3617
Roofer injured after falling 16 feet when part of the roof broke away.	electrical hazard	3618
Worker injured after falling 19 feet from platform.	fall from height	3619
Worker fell through open catwalk.	fall from height	362
Worker was hit and injure by window that tipped off back of truck.	powered vehicle	3620
Worker on an oil well was hit and injure when part of the drills overhead piston pump fell on him.	falling or propelled object	3621
Worker was hit by a motor vehicle during a roadside pickup.	powered vehicle	3622
Worker hit and injure by a highpressure release from a liquid carbon dioxide tank.	fire/explosion	3623
Worker injured after falling six stories while washing windows.	fall from height	3624
Worker hit and injure by a joint casing that fell from a truck.	powered vehicle	3625
Worker in vehicle was hit by truck on public highway.	powered vehicle	3626
Worker was hit while disassembling a modular trailer unit.	crushed by machinery/moving objects	3627
Worker hit and injure by a construction tractor scraper.	powered vehicle	3628
Worker was christmas treeing three roof opening frames and the frame at the bottom of the rigging came off the hook hit the worker.	crushed by machinery/moving objects	363
Worker was hit and injure by a construction tractor scraper while surveying a worksite.	powered vehicle	3630
Worker injure in a vehicle collision after the trailer of the vehicle  became unhitched.	powered vehicle	3631
Worker performing stucco work from a second level scaffold injured after falling 16 feet.	fall from height	3632
Worker injured after falling 45feet from a tree during trimming operations.	fall from height	3633
One worker shocked and two others hospitalized while working on an outdoor billboard.	electrical hazard	3634
Worker installing metal roof clips injured after falling 28 feet.	fall from height	3635
Worker replacing dump truck axle was hit when the floor jack failed.	crushed by machinery/moving objects	3636
Worker injured while relining the inside of a sewer during a heavy rain.	various	3637
Worker driving a rental car shuttle was injure in a vehicle collision.	powered vehicle	3638
Worker injured from fall while conducting repairs to a gutter on a residential house.	fall from height	3639
Worker contracted H1N1 flu.	various	364
Worker hit and injure by a vehicle while picking up roadside debris.	powered vehicle	3640
Worker was hit between truck and loading dock while unloading material.	powered vehicle	3641
Worker operating back hoe injured after being caughtbetween the machine and house under construction.	crushed by machinery/moving objects	3642
Worker performing maintenance on an electrical forklift was hit and injure by the machines overhead guard and mast.	crushed by forklift or similar	3643
Electrician working from an aerial lift was shocked by an overhead power line.	electrical hazard	3644
Worker hit and injure by a valve assembly.	falling or propelled object	3645
Worker shocked while servicing transmission lines from a helicopter.	electrical hazard	3646
Worker injured after being hit by the cement mixer he was repairing.	powered vehicle	3647
Worker was hit between a box truck and a front end loader.	crushed by machinery/moving objects	3648
A deck hand injured after falling into the water while assisting in securing a tug boat to a barge.	various	3649
Worker shocked while working on an electrical panel inside vacant commercial building.	electrical hazard	3650
Five workers were hospitalized for injuries sustained in a flash fire caused by the release of a chemical under pressure.	fire/explosion	3651
Worker injured after being hit by an SUV.	powered vehicle	3652
Worker injured after being hit by a vehicle while working on a roadway project.	powered vehicle	3653
Worker injured after being pulled into the grinding section of an asphalt paving machine.	crushed by machinery/moving objects	3654
Worker injured after being hit by a falling branch while trimming a tree.	falling or propelled object	3655
Worker welding inside a tank connected to a sewage treatment facility injured in an explosion..	fire/explosion	3656
Worker performing brake repairs injured after falling from a step ladder.	fall from height	3657
Worker injured after falling 50 feet from a suspension scaffold.	fall from height	3658
Worker injured after being overcome by toluene vapor while taking solvent level measurements from an outdoor storage tank.	chemical exposure	3659
Worker was driving a tractor pulling wagons in sugarcane harvesting went off the road into a canal drowning.	powered vehicle	366
Worker performing trash removal injured after falling from tractor and being run over.	powered vehicle	3660
Forklift operator was injure when the lift went off a dock and rolled onto him.	crushed by forklift or similar	3661
Worker cutting a water pipe with a chain saw injured after the saw kicked back and cut his neck severing arteries.	crushed by machinery/moving objects	3662
Worker injured after falling from the bumper of a cooler truck.	powered vehicle	3663
Worker injured from overexposure to heat while trimming trees.	heat stress or non-specific	3664
Worker injured after falling off of a six foot ladder.	fall from height	3665
Worker was hit by large piece of concrete that fell onto cab of the crane.	falling or propelled object	3666
Worker installing insulation and panels on the roof of a steel building injured after falling approximately 20 feet.	fall from height	3667
Worker injured after being stung several times during a service call.	various	3668
Worker injured after the steeple of a church that was being demolished fell on the cab of the tractor he was operating.	powered vehicle	3669
Worker hit by a snow plow blade that slid off forklift blades.	crushed by forklift or similar	3670
Worker injured from a 67foot fall when the scaffold he stepped onto collapsed.	fall from height	3671
Worker was hit by the forklift he was operating when it fell over on him.	crushed by forklift or similar	3672
Worker stocking merchandise injured in fall from step ladder.	fall from height	3673
Worker injured after being hit by a motor bucket.	crushed by machinery/moving objects	3674
Worker injured after being run over and hit by bulldozer.	powered vehicle	3675
Worker was hit and injure by tree that was being removed from a telephone line.	falling or propelled object	3676
Three workers were hospitalized after the butane canisters overheated and exploded.	fire/explosion	3677
Shipboard rigger injured after being hit by falling cargo while it was being transferred from the pier.	falling or propelled object	3678
Worker injure in collision between allterrain vehicle he was operating and another vehicle.	powered vehicle	3679
Working at a private residence curring down trees the worker was hit b a limb in the head and injured .	falling or propelled object	368
Worker shocked while changing power pack.	electrical hazard	3680
Worker hit between transfer cart and automotive paint coating machine.	crushed by machinery/moving objects	3681
Worker operating a compact excavator was caught between bucket and machine frame.	crushed by machinery/moving objects	3682
One worker injure and three others hospitalized when roof trusses that were being installed fell over and collapsed into structure under construction.	falling or propelled object	3683
Worker performing paving/concrete work injured after being hit by a driveshaft.	powered vehicle	3684
Plumber was shocked while cutting through a pipe.	electrical hazard	3685
Worker leveling stone in preparation for paving was hit and injure by a skid steer operating in reverse.	powered vehicle	3686
Worker injured in an explosion at an oil tank battery.	fire/explosion	3688
Electrical journeyman shocked while installing lighting equipment.	electrical hazard	3689
Worker was in the process of removing a boom from a crane and knocked out 2 bottom hit from the heel section. The heel section came down hit the worker.	falling or propelled object	369
Worker hit and injure when the tractor he was operating rolled down a steep ravine.	crushed by machinery/moving objects	3690
Worker in an aerial lift repairing a railroad trestle injured after falling 4060 feet.	crane/boom or similar	3691
Worker sweeping debris from roadway injured when a dump truck backed over him.	powered vehicle	3692
Worker painting injured after falling 15 feet from ladder.	fall from height	3693
Worker injure by moving saw blade.	crushed by machinery/moving objects	3694
Worker at a well site collapsed and injured from heat.	heat stress or non-specific	3695
Worker was injure in vehicle collision.	powered vehicle	3696
Worker injured in all terrain vehicle crash.	powered vehicle	3697
Worker performing tractor maintnenace was injure when the vehicle slipped into gear and rolled over him.	powered vehicle	3698
Worker injured after falling 50 feet while pressure washing the inside of a water tower.	fall from height	3699
An explosion occurred three employees were hospitalized.	fire/explosion	37
The worker was climbing a utility pole to perform routine maintenance work and came into contact with a high voltage line.	electrical hazard	370
Worker injured after falling from a fixed ladder while replacing filters in a HVAC system located on the roof.	fall from height	3700
Worker injured after falling 50 from a ladder inside a water tower.	fall from height	3701
Employee injure after being run over by a dump truck while making repairs to the braking system.	powered vehicle	3702
Four workers hospitalized after being overexposed to carbon dioxide at a poultry processing plant.	chemical exposure	3703
Worker injure after falling from an extension ladder during tree trimming operations.	fall from height	3704
Security guard was stabbed to injured by a resident.	violence, often during robbery	3705
Three employees were hospitalized when their utility vehicle rolled over.	crushed by machinery/moving objects	3706
Worker hit and injure by a utility pole that had fallen off the back of a boom truck.	falling or propelled object	3707
Employee injure in an ATV acident while investigating a report of smoke in the Santa Fe National Forest.	fire/explosion	3708
Worker delivering a package hit and injure by another vehicle.	powered vehicle	3709
Workers 2 were hit by a load being raised by a crane when rigging spreader came loose.	falling or propelled object	371
Driver loading a drilling rig onto a truck injured after being hit by a cable.	falling or propelled object	3710
Construction worker injured in a motor vehicle accident.	powered vehicle	3711
Worker injured after being hit between two mobile cranes.	crane/boom or similar	3712
Worker injured after falling from construction equipment.	fall from height	3713
Worker shocked while reconstructing a power line.	electrical hazard	3714
Worker injured after falling 11 floors down an elevator shaft.	fall from height	3715
Worker hit and injure by a falling tree during treecutting operations.	falling or propelled object	3716
Employee injure after being hit by material hanging from an overhead crane.	crushed by machinery/moving objects	3717
Worker suffered multiple bee stings and injured after falling abd hit his head.	various	3718
Worker installing a banner injured after falling from an extension ladder.	fall from height	3719
Worker was hit by an automobile that was rolling backwards.	powered vehicle	372
Worker injured after a riding lawn mower rolled onto him.	powered vehicle	3720
Oil worker servicing a well injured after being hit by falling equipment when the oil rig mast broke.	falling or propelled object	3721
Employee loading sheetrock was injure after being hit between a loaded forklift and a flatbed truck.	crushed by machinery/moving objects	3722
Employee hit and injure by a car.	powered vehicle	3723
Two workers were injure at an excavation site when the 15foot deep trench they were working in collapsed.	falling or propelled object	3724
Employee injured after falling from a floating dock while washing the hull of motor yacht.	various	3725
Employee injured while inspecting a seawall under construction.	various	3726
Worker injured in a golf course pond when a lawnmower flipped over onto him.	various	3727
Worker hit and injure by a truck while removing a pnuematic powered axle.	powered vehicle	3728
Worker injured after falling nearly 30 feet from a manlift.	fall from height	3729
Worker was setting foundation forms. An excavated dirt wall caved in burying and hit him.	falling or propelled object	373
Employee injure after being hit by a backhoe.	powered vehicle	3730
Worker injured when a chimney fell on him during demolition operations.	falling or propelled object	3731
Worker was injure after being run over by a truck and tanker trailer at a fracking oil well site.	falling or propelled object	3732
Worker injured from fall while installing floor covering.	fall from height	3733
Worker injure when caught between the ground and bumper of the bucket truck he was repairing.	crushed by machinery/moving objects	3734
Worker mild hit between a roller conveyor and the conveyor system while working on a hydraulic pump.	crushed by machinery/moving objects	3735
Worker shocked by power line.	electrical hazard	3736
Insurance employee was injure in a motor vehicle crash while traveling on business.	powered vehicle	3737
Worker injured in fall down staircase.	fall from height	3738
Worker injure when caught in a rotary injection molding machine.	crushed by machinery/moving objects	3739
Worker was riding a lead system when the crawler crane tipped over causing him to be thrown from a platform hit the boom of the crane.	falling or propelled object	374
Truck driver was mild hit under the landing gear of a semitrailer.	powered vehicle	3740
Employee working as a highway workzone flagger was hit and injure by motor vehicle.	powered vehicle	3741
Construction worker injured from heat stress.	heat stress or non-specific	3742
Worker shocked from overhead power line.	electrical hazard	3743
Worker in aerial lift burned and shocked from overhead electrical line.	electrical hazard	3744
Landscape employee hit and injure by tractor and truck.	powered vehicle	3745
Worker injured after falling 20 feet through aluminum decking from second level of steel structure.	falling or propelled object	3746
Worker was hit and injure by skid loader.	powered vehicle	3747
One worker was injure and two hospitalized in a fall from selfpropelling work platform.	fall from height	3749
